time_s,altitude_m
0.000,120.001
0.020,120.014
0.040,120.041
0.060,120.081
0.080,120.138
0.100,120.210
0.120,120.298
0.140,120.403
0.160,120.525
0.180,120.664
0.200,120.820
0.220,120.993
0.240,121.182
0.260,121.387
0.280,121.609
0.300,121.847
0.320,122.100
0.340,122.370
0.360,122.654
0.380,122.954
0.400,123.269
0.420,123.599
0.440,123.945
0.460,124.306
0.480,124.682
0.500,125.074
0.520,125.481
0.540,125.904
0.560,126.343
0.580,126.797
0.600,127.266
0.620,127.749
0.640,128.249
0.660,128.762
0.680,129.291
0.700,129.835
0.720,130.393
0.740,130.965
0.760,131.553
0.780,132.155
0.800,132.772
0.820,133.403
0.840,134.048
0.860,134.708
0.880,135.381
0.900,136.068
0.920,136.769
0.940,137.485
0.960,138.215
0.980,138.959
1.000,139.717
1.020,140.489
1.040,141.276
1.060,142.076
1.080,142.891
1.100,143.719
1.120,144.562
1.140,145.418
1.160,146.287
1.180,147.171
1.200,148.068
1.220,148.978
1.240,149.902
1.260,150.839
1.280,151.790
1.300,152.754
1.320,153.732
1.340,154.724
1.360,155.730
1.380,156.749
1.400,157.781
1.420,158.827
1.440,159.886
1.460,160.959
1.480,162.044
1.500,163.142
1.520,164.254
1.540,165.378
1.560,166.516
1.580,167.667
1.600,168.831
1.620,170.008
1.640,171.198
1.660,172.401
1.680,173.616
1.700,174.844
1.720,176.085
1.740,177.339
1.760,178.605
1.780,179.884
1.800,181.175
1.820,182.479
1.840,183.796
1.860,185.124
1.880,186.466
1.900,187.819
1.920,189.185
1.940,190.564
1.960,191.955
1.980,193.359
2.000,194.776
2.020,196.205
2.040,197.646
2.060,199.099
2.080,200.565
2.100,202.043
2.120,203.533
2.140,205.035
2.160,206.550
2.180,208.076
2.200,209.615
2.220,211.165
2.240,212.727
2.260,214.301
2.280,215.887
2.300,217.485
2.320,219.095
2.340,220.716
2.360,222.350
2.380,223.995
2.400,225.652
2.420,227.321
2.440,229.002
2.460,230.694
2.480,232.398
2.500,234.113
2.520,235.840
2.540,237.578
2.560,239.328
2.580,241.088
2.600,242.860
2.620,244.643
2.640,246.438
2.660,248.243
2.680,250.060
2.700,251.888
2.720,253.727
2.740,255.576
2.760,257.437
2.780,259.309
2.800,261.191
2.820,263.085
2.840,264.989
2.860,266.903
2.880,268.828
2.900,270.764
2.920,272.711
2.940,274.668
2.960,276.635
2.980,278.613
3.000,280.600
3.020,282.599
3.040,284.608
3.060,286.627
3.080,288.657
3.100,290.698
3.120,292.748
3.140,294.809
3.160,296.880
3.180,298.960
3.200,301.051
3.220,303.152
3.240,305.263
3.260,307.384
3.280,309.516
3.300,311.658
3.320,313.811
3.340,315.973
3.360,318.145
3.380,320.327
3.400,322.519
3.420,324.722
3.440,326.934
3.460,329.156
3.480,331.388
3.500,333.630
3.520,335.882
3.540,338.143
3.560,340.414
3.580,342.695
3.600,344.986
3.620,347.287
3.640,349.597
3.660,351.918
3.680,354.248
3.700,356.587
3.720,358.935
3.740,361.293
3.760,363.661
3.780,366.039
3.800,368.426
3.820,370.822
3.840,373.228
3.860,375.644
3.880,378.069
3.900,380.503
3.920,382.948
3.940,385.402
3.960,387.865
3.980,390.339
4.000,392.821
4.020,395.313
4.040,397.815
4.060,400.325
4.080,402.845
4.100,405.374
4.120,407.899
4.140,410.419
4.160,412.934
4.180,415.446
4.200,417.953
4.220,420.455
4.240,422.953
4.260,425.447
4.280,427.937
4.300,430.422
4.320,432.902
4.340,435.379
4.360,437.850
4.380,440.318
4.400,442.781
4.420,445.240
4.440,447.694
4.460,450.144
4.480,452.590
4.500,455.031
4.520,457.468
4.540,459.900
4.560,462.329
4.580,464.752
4.600,467.172
4.620,469.587
4.640,471.998
4.660,474.404
4.680,476.806
4.700,479.204
4.720,481.597
4.740,483.986
4.760,486.371
4.780,488.751
4.800,491.127
4.820,493.498
4.840,495.866
4.860,498.229
4.880,500.587
4.900,502.941
4.920,505.291
4.940,507.637
4.960,509.978
4.980,512.315
5.000,514.648
5.020,516.976
5.040,519.300
5.060,521.620
5.080,523.935
5.100,526.246
5.120,528.553
5.140,530.855
5.160,533.153
5.180,535.447
5.200,537.736
5.220,540.021
5.240,542.302
5.260,544.579
5.280,546.851
5.300,549.119
5.320,551.382
5.340,553.641
5.360,555.896
5.380,558.147
5.400,560.394
5.420,562.636
5.440,564.873
5.460,567.107
5.480,569.336
5.500,571.561
5.520,573.782
5.540,575.998
5.560,578.210
5.580,580.418
5.600,582.622
5.620,584.821
5.640,587.016
5.660,589.206
5.680,591.393
5.700,593.575
5.720,595.753
5.740,597.926
5.760,600.096
5.780,602.261
5.800,604.422
