time_s,altitude_m
-8,846
-7.995,846
-7.99,846
-7.985,846
-7.98,846
-7.975,846
-7.97,846
-7.965,846
-7.96,846
-7.955,846
-7.95,846
-7.945,846
-7.94,846
-7.935,846
-7.93,846
-7.925,846
-7.92,846
-7.915,846
-7.91,846
-7.905,846
-7.9,846
-7.895,846
-7.89,846
-7.885,846
-7.88,846
-7.875,846
-7.87,846
-7.865,846
-7.86,846
-7.855,846
-7.85,846
-7.845,846
-7.84,846
-7.835,846
-7.83,846
-7.825,846
-7.82,846
-7.815,846
-7.81,846
-7.805,846
-7.8,846
-7.795,846
-7.79,846
-7.785,846
-7.78,846
-7.775,846
-7.77,846
-7.765,846
-7.76,846
-7.755,846
-7.75,846
-7.745,846
-7.74,846
-7.735,846
-7.73,846
-7.725,846
-7.72,846
-7.715,846
-7.71,846
-7.705,846
-7.7,846
-7.695,846
-7.69,846
-7.685,846
-7.68,846
-7.675,846
-7.67,846
-7.665,846
-7.66,846
-7.655,846
-7.65,846
-7.645,846
-7.64,846
-7.635,846
-7.63,846
-7.625,846
-7.62,846
-7.615,846
-7.61,846
-7.605,846
-7.6,846
-7.595,846
-7.59,846
-7.585,846
-7.58,846
-7.575,846
-7.57,846
-7.565,846
-7.56,846
-7.555,846
-7.55,846
-7.545,846
-7.54,846
-7.535,846
-7.53,846
-7.525,846
-7.52,846
-7.515,846
-7.51,846
-7.505,846
-7.5,846
-7.495,846
-7.49,846
-7.485,846
-7.48,846
-7.475,846
-7.47,846
-7.465,846
-7.46,846
-7.455,846
-7.45,846
-7.445,846
-7.44,846
-7.435,846
-7.43,846
-7.425,846
-7.42,846
-7.415,846
-7.41,846
-7.405,846
-7.4,846
-7.395,846
-7.39,846
-7.385,846
-7.38,846
-7.375,846
-7.37,846
-7.365,846
-7.36,846
-7.355,846
-7.35,846
-7.345,846
-7.34,846
-7.335,846
-7.33,846
-7.325,846
-7.32,846
-7.315,846
-7.31,846
-7.305,846
-7.3,846
-7.295,846
-7.29,846
-7.285,846
-7.28,846
-7.275,846
-7.27,846
-7.265,846
-7.26,846
-7.255,846
-7.25,846
-7.245,846
-7.24,846
-7.235,846
-7.23,846
-7.225,846
-7.22,846
-7.215,846
-7.21,846
-7.205,846
-7.2,846
-7.195,846
-7.19,846
-7.185,846
-7.18,846
-7.175,846
-7.17,846
-7.165,846
-7.16,846
-7.155,846
-7.15,846
-7.145,846
-7.14,846
-7.135,846
-7.13,846
-7.125,846
-7.12,846
-7.115,846
-7.11,846
-7.105,846
-7.1,846
-7.095,846
-7.09,846
-7.085,846
-7.08,846
-7.075,846
-7.07,846
-7.065,846
-7.06,846
-7.055,846
-7.05,846
-7.045,846
-7.04,846
-7.035,846
-7.03,846
-7.025,846
-7.02,846
-7.015,846
-7.01,846
-7.005,846
-7,846
-6.995,846
-6.99,846
-6.985,846
-6.98,846
-6.975,846
-6.97,846
-6.965,846
-6.96,846
-6.955,846
-6.95,846
-6.945,846
-6.94,846
-6.935,846
-6.93,846
-6.925,846
-6.92,846
-6.915,846
-6.91,846
-6.905,846
-6.9,846
-6.895,846
-6.89,846
-6.885,846
-6.88,846
-6.875,846
-6.87,846
-6.865,846
-6.86,846
-6.855,846
-6.85,846
-6.845,846
-6.84,846
-6.835,846
-6.83,846
-6.825,846
-6.82,846
-6.815,846
-6.81,846
-6.805,846
-6.8,846
-6.795,846
-6.79,846
-6.785,846
-6.78,846
-6.775,846
-6.77,846
-6.765,846
-6.76,846
-6.755,846
-6.75,846
-6.745,846
-6.74,846
-6.735,846
-6.73,846
-6.725,846
-6.72,846
-6.715,846
-6.71,846
-6.705,846
-6.7,846
-6.695,846
-6.69,846
-6.685,846
-6.68,846
-6.675,846
-6.67,846
-6.665,846
-6.66,846
-6.655,846
-6.65,846
-6.645,846
-6.64,846
-6.635,846
-6.63,846
-6.625,846
-6.62,846
-6.615,846
-6.61,846
-6.605,846
-6.6,846
-6.595,846
-6.59,846
-6.585,846
-6.58,846
-6.575,846
-6.57,846
-6.565,846
-6.56,846
-6.555,846
-6.55,846
-6.545,846
-6.54,846
-6.535,846
-6.53,846
-6.525,846
-6.52,846
-6.515,846
-6.51,846
-6.505,846
-6.5,846
-6.495,846
-6.49,846
-6.485,846
-6.48,846
-6.475,846
-6.47,846
-6.465,846
-6.46,846
-6.455,846
-6.45,846
-6.445,846
-6.44,846
-6.435,846
-6.43,846
-6.425,846
-6.42,846
-6.415,846
-6.41,846
-6.405,846
-6.4,846
-6.395,846
-6.39,846
-6.385,846
-6.38,846
-6.375,846
-6.37,846
-6.365,846
-6.36,846
-6.355,846
-6.35,846
-6.345,846
-6.34,846
-6.335,846
-6.33,846
-6.325,846
-6.32,846
-6.315,846
-6.31,846
-6.305,846
-6.3,846
-6.295,846
-6.29,846
-6.285,846
-6.28,846
-6.275,846
-6.27,846
-6.265,846
-6.26,846
-6.255,846
-6.25,846
-6.245,846
-6.24,846
-6.235,846
-6.23,846
-6.225,846
-6.22,846
-6.215,846
-6.21,846
-6.205,846
-6.2,846
-6.195,846
-6.19,846
-6.185,846
-6.18,846
-6.175,846
-6.17,846
-6.165,846
-6.16,846
-6.155,846
-6.15,846
-6.145,846
-6.14,846
-6.135,846
-6.13,846
-6.125,846
-6.12,846
-6.115,846
-6.11,846
-6.105,846
-6.1,846
-6.095,846
-6.09,846
-6.085,846
-6.08,846
-6.075,846
-6.07,846
-6.065,846
-6.06,846
-6.055,846
-6.05,846
-6.045,846
-6.04,846
-6.035,846
-6.03,846
-6.025,846
-6.02,846
-6.015,846
-6.01,846
-6.005,846
-6,846
-5.995,846
-5.99,846
-5.985,846
-5.98,846
-5.975,846
-5.97,846
-5.965,846
-5.96,846
-5.955,846
-5.95,846
-5.945,846
-5.94,846
-5.935,846
-5.93,846
-5.925,846
-5.92,846
-5.915,846
-5.91,846
-5.905,846
-5.9,846
-5.895,846
-5.89,846
-5.885,846
-5.88,846
-5.875,846
-5.87,846
-5.865,846
-5.86,846
-5.855,846
-5.85,846
-5.845,846
-5.84,846
-5.835,846
-5.83,846
-5.825,846
-5.82,846
-5.815,846
-5.81,846
-5.805,846
-5.8,846
-5.795,846
-5.79,846
-5.785,846
-5.78,846
-5.775,846
-5.77,846
-5.765,846
-5.76,846
-5.755,846
-5.75,846
-5.745,846
-5.74,846
-5.735,846
-5.73,846
-5.725,846
-5.72,846
-5.715,846
-5.71,846
-5.705,846
-5.7,846
-5.695,846
-5.69,846
-5.685,846
-5.68,846
-5.675,846
-5.67,846
-5.665,846
-5.66,846
-5.655,846
-5.65,846
-5.645,846
-5.64,846
-5.635,846
-5.63,846
-5.625,846
-5.62,846
-5.615,846
-5.61,846
-5.605,846
-5.6,846
-5.595,846
-5.59,846
-5.585,846
-5.58,846
-5.575,846
-5.57,846
-5.565,846
-5.56,846
-5.555,846
-5.55,846
-5.545,846
-5.54,846
-5.535,846
-5.53,846
-5.525,846
-5.52,846
-5.515,846
-5.51,846
-5.505,846
-5.5,846
-5.495,846
-5.49,846
-5.485,846
-5.48,846
-5.475,846
-5.47,846
-5.465,846
-5.46,846
-5.455,846
-5.45,846
-5.445,846
-5.44,846
-5.435,846
-5.43,846
-5.425,846
-5.42,846
-5.415,846
-5.41,846
-5.405,846
-5.4,846
-5.395,846
-5.39,846
-5.385,846
-5.38,846
-5.375,846
-5.37,846
-5.365,846
-5.36,846
-5.355,846
-5.35,846
-5.345,846
-5.34,846
-5.335,846
-5.33,846
-5.325,846
-5.32,846
-5.315,846
-5.31,846
-5.305,846
-5.3,846
-5.295,846
-5.29,846
-5.285,846
-5.28,846
-5.275,846
-5.27,846
-5.265,846
-5.26,846
-5.255,846
-5.25,846
-5.245,846
-5.24,846
-5.235,846
-5.23,846
-5.225,846
-5.22,846
-5.215,846
-5.21,846
-5.205,846
-5.2,846
-5.195,846
-5.19,846
-5.185,846
-5.18,846
-5.175,846
-5.17,846
-5.165,846
-5.16,846
-5.155,846
-5.15,846
-5.145,846
-5.14,846
-5.135,846
-5.13,846
-5.125,846
-5.12,846
-5.115,846
-5.11,846
-5.105,846
-5.1,846
-5.095,846
-5.09,846
-5.085,846
-5.08,846
-5.075,846
-5.07,846
-5.065,846
-5.06,846
-5.055,846
-5.05,846
-5.045,846
-5.04,846
-5.035,846
-5.03,846
-5.025,846
-5.02,846
-5.015,846
-5.01,846
-5.005,846
-5,846
-4.995,846
-4.99,846
-4.985,846
-4.98,846
-4.975,846
-4.97,846
-4.965,846
-4.96,846
-4.955,846
-4.95,846
-4.945,846
-4.94,846
-4.935,846
-4.93,846
-4.925,846
-4.92,846
-4.915,846
-4.91,846
-4.905,846
-4.9,846
-4.895,846
-4.89,846
-4.885,846
-4.88,846
-4.875,846
-4.87,846
-4.865,846
-4.86,846
-4.855,846
-4.85,846
-4.845,846
-4.84,846
-4.835,846
-4.83,846
-4.825,846
-4.82,846
-4.815,846
-4.81,846
-4.805,846
-4.8,846
-4.795,846
-4.79,846
-4.785,846
-4.78,846
-4.775,846
-4.77,846
-4.765,846
-4.76,846
-4.755,846
-4.75,846
-4.745,846
-4.74,846
-4.735,846
-4.73,846
-4.725,846
-4.72,846
-4.715,846
-4.71,846
-4.705,846
-4.7,846
-4.695,846
-4.69,846
-4.685,846
-4.68,846
-4.675,846
-4.67,846
-4.665,846
-4.66,846
-4.655,846
-4.65,846
-4.645,846
-4.64,846
-4.635,846
-4.63,846
-4.625,846
-4.62,846
-4.615,846
-4.61,846
-4.605,846
-4.6,846
-4.595,846
-4.59,846
-4.585,846
-4.58,846
-4.575,846
-4.57,846
-4.565,846
-4.56,846
-4.555,846
-4.55,846
-4.545,846
-4.54,846
-4.535,846
-4.53,846
-4.525,846
-4.52,846
-4.515,846
-4.51,846
-4.505,846
-4.5,846
-4.495,846
-4.49,846
-4.485,846
-4.48,846
-4.475,846
-4.47,846
-4.465,846
-4.46,846
-4.455,846
-4.45,846
-4.445,846
-4.44,846
-4.435,846
-4.43,846
-4.425,846
-4.42,846
-4.415,846
-4.41,846
-4.405,846
-4.4,846
-4.395,846
-4.39,846
-4.385,846
-4.38,846
-4.375,846
-4.37,846
-4.365,846
-4.36,846
-4.355,846
-4.35,846
-4.345,846
-4.34,846
-4.335,846
-4.33,846
-4.325,846
-4.32,846
-4.315,846
-4.31,846
-4.305,846
-4.3,846
-4.295,846
-4.29,846
-4.285,846
-4.28,846
-4.275,846
-4.27,846
-4.265,846
-4.26,846
-4.255,846
-4.25,846
-4.245,846
-4.24,846
-4.235,846
-4.23,846
-4.225,846
-4.22,846
-4.215,846
-4.21,846
-4.205,846
-4.2,846
-4.195,846
-4.19,846
-4.185,846
-4.18,846
-4.175,846
-4.17,846
-4.165,846
-4.16,846
-4.155,846
-4.15,846
-4.145,846
-4.14,846
-4.135,846
-4.13,846
-4.125,846
-4.12,846
-4.115,846
-4.11,846
-4.105,846
-4.1,846
-4.095,846
-4.09,846
-4.085,846
-4.08,846
-4.075,846
-4.07,846
-4.065,846
-4.06,846
-4.055,846
-4.05,846
-4.045,846
-4.04,846
-4.035,846
-4.03,846
-4.025,846
-4.02,846
-4.015,846
-4.01,846
-4.005,846
-4,846
-3.995,846
-3.99,846
-3.985,846
-3.98,846
-3.975,846
-3.97,846
-3.965,846
-3.96,846
-3.955,846
-3.95,846
-3.945,846
-3.94,846
-3.935,846
-3.93,846
-3.925,846
-3.92,846
-3.915,846
-3.91,846
-3.905,846
-3.9,846
-3.895,846
-3.89,846
-3.885,846
-3.88,846
-3.875,846
-3.87,846
-3.865,846
-3.86,846
-3.855,846
-3.85,846
-3.845,846
-3.84,846
-3.835,846
-3.83,846
-3.825,846
-3.82,846
-3.815,846
-3.81,846
-3.805,846
-3.8,846
-3.795,846
-3.79,846
-3.785,846
-3.78,846
-3.775,846
-3.77,846
-3.765,846
-3.76,846
-3.755,846
-3.75,846
-3.745,846
-3.74,846
-3.735,846
-3.73,846
-3.725,846
-3.72,846
-3.715,846
-3.71,846
-3.705,846
-3.7,846
-3.695,846
-3.69,846
-3.685,846
-3.68,846
-3.675,846
-3.67,846
-3.665,846
-3.66,846
-3.655,846
-3.65,846
-3.645,846
-3.64,846
-3.635,846
-3.63,846
-3.625,846
-3.62,846
-3.615,846
-3.61,846
-3.605,846
-3.6,846
-3.595,846
-3.59,846
-3.585,846
-3.58,846
-3.575,846
-3.57,846
-3.565,846
-3.56,846
-3.555,846
-3.55,846
-3.545,846
-3.54,846
-3.535,846
-3.53,846
-3.525,846
-3.52,846
-3.515,846
-3.51,846
-3.505,846
-3.5,846
-3.495,846
-3.49,846
-3.485,846
-3.48,846
-3.475,846
-3.47,846
-3.465,846
-3.46,846
-3.455,846
-3.45,846
-3.445,846
-3.44,846
-3.435,846
-3.43,846
-3.425,846
-3.42,846
-3.415,846
-3.41,846
-3.405,846
-3.4,846
-3.395,846
-3.39,846
-3.385,846
-3.38,846
-3.375,846
-3.37,846
-3.365,846
-3.36,846
-3.355,846
-3.35,846
-3.345,846
-3.34,846
-3.335,846
-3.33,846
-3.325,846
-3.32,846
-3.315,846
-3.31,846
-3.305,846
-3.3,846
-3.295,846
-3.29,846
-3.285,846
-3.28,846
-3.275,846
-3.27,846
-3.265,846
-3.26,846
-3.255,846
-3.25,846
-3.245,846
-3.24,846
-3.235,846
-3.23,846
-3.225,846
-3.22,846
-3.215,846
-3.21,846
-3.205,846
-3.2,846
-3.195,846
-3.19,846
-3.185,846
-3.18,846
-3.175,846
-3.17,846
-3.165,846
-3.16,846
-3.155,846
-3.15,846
-3.145,846
-3.14,846
-3.135,846
-3.13,846
-3.125,846
-3.12,846
-3.115,846
-3.11,846
-3.105,846
-3.1,846
-3.095,846
-3.09,846
-3.085,846
-3.08,846
-3.075,846
-3.07,846
-3.065,846
-3.06,846
-3.055,846
-3.05,846
-3.045,846
-3.04,846
-3.035,846
-3.03,846
-3.025,846
-3.02,846
-3.015,846
-3.01,846
-3.005,846
-3,846
-2.995,846
-2.99,846
-2.985,846
-2.98,846
-2.975,846
-2.97,846
-2.965,846
-2.96,846
-2.955,846
-2.95,846
-2.945,846
-2.94,846
-2.935,846
-2.93,846
-2.925,846
-2.92,846
-2.915,846
-2.91,846
-2.905,846
-2.9,846
-2.895,846
-2.89,846
-2.885,846
-2.88,846
-2.875,846
-2.87,846
-2.865,846
-2.86,846
-2.855,846
-2.85,846
-2.845,846
-2.84,846
-2.835,846
-2.83,846
-2.825,846
-2.82,846
-2.815,846
-2.81,846
-2.805,846
-2.8,846
-2.795,846
-2.79,846
-2.785,846
-2.78,846
-2.775,846
-2.77,846
-2.765,846
-2.76,846
-2.755,846
-2.75,846
-2.745,846
-2.74,846
-2.735,846
-2.73,846
-2.725,846
-2.72,846
-2.715,846
-2.71,846
-2.705,846
-2.7,846
-2.695,846
-2.69,846
-2.685,846
-2.68,846
-2.675,846
-2.67,846
-2.665,846
-2.66,846
-2.655,846
-2.65,846
-2.645,846
-2.64,846
-2.635,846
-2.63,846
-2.625,846
-2.62,846
-2.615,846
-2.61,846
-2.605,846
-2.6,846
-2.595,846
-2.59,846
-2.585,846
-2.58,846
-2.575,846
-2.57,846
-2.565,846
-2.56,846
-2.555,846
-2.55,846
-2.545,846
-2.54,846
-2.535,846
-2.53,846
-2.525,846
-2.52,846
-2.515,846
-2.51,846
-2.505,846
-2.5,846
-2.495,846
-2.49,846
-2.485,846
-2.48,846
-2.475,846
-2.47,846
-2.465,846
-2.46,846
-2.455,846
-2.45,846
-2.445,846
-2.44,846
-2.435,846
-2.43,846
