time_s,altitude_m
-8,914.4
-7.995,914.4
-7.99,914.4
-7.985,914.4
-7.98,914.4
-7.975,914.4
-7.97,914.4
-7.965,914.4
-7.96,914.4
-7.955,914.4
-7.95,914.4
-7.945,914.4
-7.94,914.4
-7.935,914.4
-7.93,914.4
-7.925,914.4
-7.92,914.4
-7.915,914.4
-7.91,914.4
-7.905,914.4
-7.9,914.4
-7.895,914.4
-7.89,914.4
-7.885,914.4
-7.88,914.4
-7.875,914.4
-7.87,914.4
-7.865,914.4
-7.86,914.4
-7.855,914.4
-7.85,914.4
-7.845,914.4
-7.84,914.4
-7.835,914.4
-7.83,914.4
-7.825,914.4
-7.82,914.4
-7.815,914.4
-7.81,914.4
-7.805,914.4
-7.8,914.4
-7.795,914.4
-7.79,914.4
-7.785,914.4
-7.78,914.4
-7.775,914.4
-7.77,914.4
-7.765,914.4
-7.76,914.4
-7.755,914.4
-7.75,914.4
-7.745,914.4
-7.74,914.4
-7.735,914.4
-7.73,914.4
-7.725,914.4
-7.72,914.4
-7.715,914.4
-7.71,914.4
-7.705,914.4
-7.7,914.4
-7.695,914.4
-7.69,914.4
-7.685,914.4
-7.68,914.4
-7.675,914.4
-7.67,914.4
-7.665,914.4
-7.66,914.4
-7.655,914.4
-7.65,914.4
-7.645,914.4
-7.64,914.4
-7.635,914.4
-7.63,914.4
-7.625,914.4
-7.62,914.4
-7.615,914.4
-7.61,914.4
-7.605,914.4
-7.6,914.4
-7.595,914.4
-7.59,914.4
-7.585,914.4
-7.58,914.4
-7.575,914.4
-7.57,914.4
-7.565,914.4
-7.56,914.4
-7.555,914.4
-7.55,914.4
-7.545,914.4
-7.54,914.4
-7.535,914.4
-7.53,914.4
-7.525,914.4
-7.52,914.4
-7.515,914.4
-7.51,914.4
-7.505,914.4
-7.5,914.4
-7.495,914.4
-7.49,914.4
-7.485,914.4
-7.48,914.4
-7.475,914.4
-7.47,914.4
-7.465,914.4
-7.46,914.4
-7.455,914.4
-7.45,914.4
-7.445,914.4
-7.44,914.4
-7.435,914.4
-7.43,914.4
-7.425,914.4
-7.42,914.4
-7.415,914.4
-7.41,914.4
-7.405,914.4
-7.4,914.4
-7.395,914.4
-7.39,914.4
-7.385,914.4
-7.38,914.4
-7.375,914.4
-7.37,914.4
-7.365,914.4
-7.36,914.4
-7.355,914.4
-7.35,914.4
-7.345,914.4
-7.34,914.4
-7.335,914.4
-7.33,914.4
-7.325,914.4
-7.32,914.4
-7.315,914.4
-7.31,914.4
-7.305,914.4
-7.3,914.4
-7.295,914.4
-7.29,914.4
-7.285,914.4
-7.28,914.4
-7.275,914.4
-7.27,914.4
-7.265,914.4
-7.26,914.4
-7.255,914.4
-7.25,914.4
-7.245,914.4
-7.24,914.4
-7.235,914.4
-7.23,914.4
-7.225,914.4
-7.22,914.4
-7.215,914.4
-7.21,914.4
-7.205,914.4
-7.2,914.4
-7.195,914.4
-7.19,914.4
-7.185,914.4
-7.18,914.4
-7.175,914.4
-7.17,914.4
-7.165,914.4
-7.16,914.4
-7.155,914.4
-7.15,914.4
-7.145,914.4
-7.14,914.4
-7.135,914.4
-7.13,914.4
-7.125,914.4
-7.12,914.4
-7.115,914.4
-7.11,914.4
-7.105,914.4
-7.1,914.4
-7.095,914.4
-7.09,914.4
-7.085,914.4
-7.08,914.4
-7.075,914.4
-7.07,914.4
-7.065,914.4
-7.06,914.4
-7.055,914.4
-7.05,914.4
-7.045,914.4
-7.04,914.4
-7.035,914.4
-7.03,914.4
-7.025,914.4
-7.02,914.4
-7.015,914.4
-7.01,914.4
-7.005,914.4
-7,914.4
-6.995,914.4
-6.99,914.4
-6.985,914.4
-6.98,914.4
-6.975,914.4
-6.97,914.4
-6.965,914.4
-6.96,914.4
-6.955,914.4
-6.95,914.4
-6.945,914.4
-6.94,914.4
-6.935,914.4
-6.93,914.4
-6.925,914.4
-6.92,914.4
-6.915,914.4
-6.91,914.4
-6.905,914.4
-6.9,914.4
-6.895,914.4
-6.89,914.4
-6.885,914.4
-6.88,914.4
-6.875,914.4
-6.87,914.4
-6.865,914.4
-6.86,914.4
-6.855,914.4
-6.85,914.4
-6.845,914.4
-6.84,914.4
-6.835,914.4
-6.83,914.4
-6.825,914.4
-6.82,914.4
-6.815,914.4
-6.81,914.4
-6.805,914.4
-6.8,914.4
-6.795,914.4
-6.79,914.4
-6.785,914.4
-6.78,914.4
-6.775,914.4
-6.77,914.4
-6.765,914.4
-6.76,914.4
-6.755,914.4
-6.75,914.4
-6.745,914.4
-6.74,914.4
-6.735,914.4
-6.73,914.4
-6.725,914.4
-6.72,914.4
-6.715,914.4
-6.71,914.4
-6.705,914.4
-6.7,914.4
-6.695,914.4
-6.69,914.4
-6.685,914.4
-6.68,914.4
-6.675,914.4
-6.67,914.4
-6.665,914.4
-6.66,914.4
-6.655,914.4
-6.65,914.4
-6.645,914.4
-6.64,914.4
-6.635,914.4
-6.63,914.4
-6.625,914.4
-6.62,914.4
-6.615,914.4
-6.61,914.4
-6.605,914.4
-6.6,914.4
-6.595,914.4
-6.59,914.4
-6.585,914.4
-6.58,914.4
-6.575,914.4
-6.57,914.4
-6.565,914.4
-6.56,914.4
-6.555,914.4
-6.55,914.4
-6.545,914.4
-6.54,914.4
-6.535,914.4
-6.53,914.4
-6.525,914.4
-6.52,914.4
-6.515,914.4
-6.51,914.4
-6.505,914.4
-6.5,914.4
-6.495,914.4
-6.49,914.4
-6.485,914.4
-6.48,914.4
-6.475,914.4
-6.47,914.4
-6.465,914.4
-6.46,914.4
-6.455,914.4
-6.45,914.4
-6.445,914.4
-6.44,914.4
-6.435,914.4
-6.43,914.4
-6.425,914.4
-6.42,914.4
-6.415,914.4
-6.41,914.4
-6.405,914.4
-6.4,914.4
-6.395,914.4
-6.39,914.4
-6.385,914.4
-6.38,914.4
-6.375,914.4
-6.37,914.4
-6.365,914.4
-6.36,914.4
-6.355,914.4
-6.35,914.4
-6.345,914.4
-6.34,914.4
-6.335,914.4
-6.33,914.4
-6.325,914.4
-6.32,914.4
-6.315,914.4
-6.31,914.4
-6.305,914.4
-6.3,914.4
-6.295,914.4
-6.29,914.4
-6.285,914.4
-6.28,914.4
-6.275,914.4
-6.27,914.4
-6.265,914.4
-6.26,914.4
-6.255,914.4
-6.25,914.4
-6.245,914.4
-6.24,914.4
-6.235,914.4
-6.23,914.4
-6.225,914.4
-6.22,914.4
-6.215,914.4
-6.21,914.4
-6.205,914.4
-6.2,914.4
-6.195,914.4
-6.19,914.4
-6.185,914.4
-6.18,914.4
-6.175,914.4
-6.17,914.4
-6.165,914.4
-6.16,914.4
-6.155,914.4
-6.15,914.4
-6.145,914.4
