time,pressure,thrust
0.000,17.370,-1.117
0.005,22.195,13.780
0.010,41.494,93.231
0.015,73.339,445.795
0.020,115.798,959.743
0.025,162.117,1319.756
0.030,212.297,2047.229
0.035,247.036,2809.462
0.040,272.126,3243.960
0.045,276.951,3154.578
0.050,286.600,3298.583
0.055,292.390,3484.796
0.060,293.355,3469.899
0.065,301.075,3531.970
0.070,306.865,3613.904
0.075,303.005,3586.593
0.080,314.585,3618.870
0.085,323.270,3725.632
0.090,326.165,3743.012
0.095,338.710,3785.220
0.100,350.289,3916.811
0.105,359.939,4043.436
0.110,360.904,4018.607
0.115,360.904,3936.674
0.120,366.694,4003.710
0.125,366.694,3939.156
0.130,376.344,3981.365
0.135,382.134,3956.536
0.140,377.309,3968.951
0.145,384.064,3919.294
0.150,390.819,3944.122
0.155,397.574,4008.676
0.160,404.329,4016.125
0.165,407.224,4107.990
0.170,420.733,4160.130
0.175,424.593,4187.441
0.180,441.963,4363.723
0.185,443.893,4440.691
0.190,444.858,4381.103
0.195,440.033,4294.203
0.200,434.243,4162.612
0.205,441.963,4135.301
0.210,431.348,4172.544
0.215,438.103,4028.539
0.220,445.823,4142.750
0.225,449.683,4184.958
0.230,451.613,4247.029
0.235,447.753,4120.404
0.240,449.683,4120.404
0.245,457.403,4120.404
0.250,461.263,4266.892
0.255,460.298,4098.058
0.260,453.543,4115.438
0.265,455.473,4040.953
0.270,454.508,4033.505
0.275,457.403,4103.024
0.280,454.508,4043.436
0.285,453.543,4135.301
0.290,449.683,4023.573
0.295,453.543,3899.431
0.300,449.683,4053.367
0.305,457.403,3896.948
0.310,451.613,4058.333
0.315,453.543,3867.154
0.320,449.683,4011.159
0.325,449.683,3931.708
0.330,449.683,3936.674
0.335,457.403,3986.330
0.340,449.683,3924.259
0.345,453.543,3884.534
0.350,461.263,4145.232
0.355,449.683,3891.982
0.360,446.788,3911.845
0.365,447.753,3916.811
0.370,441.963,3879.568
0.375,445.823,3857.223
0.380,445.823,3839.843
0.385,442.928,3896.948
0.390,447.753,3899.431
0.395,445.823,3899.431
0.400,443.893,3867.154
0.405,441.963,3909.362
0.410,439.068,3842.326
0.415,445.823,3904.397
0.420,439.068,3879.568
0.425,447.753,3810.049
0.430,443.893,3931.708
0.435,438.103,3824.946
0.440,445.823,3854.740
0.445,436.173,3904.397
0.450,438.103,3842.326
0.455,434.243,3847.291
0.460,439.068,3819.980
0.465,454.508,4065.781
0.470,443.893,4070.747
0.475,432.313,3760.392
0.480,442.928,3867.154
0.485,436.173,3919.294
0.490,440.998,3797.634
0.495,447.753,3887.017
0.500,434.243,3844.808
0.505,435.208,3879.568
0.510,430.383,3872.120
0.515,436.173,3807.566
0.520,428.453,3931.708
0.525,428.453,3797.634
0.530,435.208,3901.914
0.535,429.418,3874.602
0.540,430.383,3810.049
0.545,431.348,3939.156
0.550,438.103,3916.811
0.555,426.523,3829.911
0.560,428.453,3864.671
0.565,426.523,3909.362
0.570,436.173,3931.708
0.575,439.068,4100.541
0.580,429.418,4065.781
0.585,432.313,3889.500
0.590,430.383,3949.088
0.595,418.803,3842.326
0.600,424.593,3792.669
0.605,419.768,3874.602
0.610,420.733,3760.392
0.615,420.733,3854.740
0.620,419.768,3844.808
0.625,415.908,3713.218
0.630,419.768,3824.946
0.635,411.084,3777.772
0.640,422.663,3752.943
0.645,424.593,3884.534
0.650,413.013,3780.254
0.655,416.873,3703.286
0.660,417.838,3829.911
0.665,422.663,3752.943
0.670,418.803,3827.428
0.675,416.873,3770.323
0.680,422.663,3715.700
0.685,415.908,3802.600
0.690,422.663,3708.252
0.695,426.523,3728.115
0.700,428.453,3829.911
0.705,426.523,3785.220
0.710,423.628,3671.009
0.715,419.768,3819.980
0.720,424.593,3720.666
0.725,426.523,3730.598
0.730,423.628,3752.943
0.735,425.558,3710.735
0.740,426.523,3745.495
0.745,423.628,3777.772
0.750,426.523,3728.115
0.755,426.523,3725.632
0.760,422.663,3685.906
0.765,426.523,3728.115
0.770,427.488,3750.460
0.775,426.523,3703.286
0.780,430.383,3747.977
0.785,424.593,3750.460
0.790,430.383,3646.181
0.795,428.453,3715.700
0.800,428.453,3740.529
0.805,430.383,3733.080
0.810,426.523,3656.112
0.815,430.383,3628.801
0.820,430.383,3663.561
0.825,431.348,3723.149
0.830,434.243,3703.286
0.835,434.243,3708.252
0.840,434.243,3666.044
0.845,430.383,3678.458
0.850,441.963,3633.767
0.855,436.173,3680.941
0.860,434.243,3708.252
0.865,430.383,3638.732
0.870,428.453,3576.661
0.875,435.208,3581.627
0.880,434.243,3611.421
0.885,435.208,3648.664
0.890,430.383,3666.044
0.895,426.523,3611.421
0.900,426.523,3556.798
0.905,435.208,3656.112
0.910,438.103,3680.941
0.915,426.523,3638.732
0.920,430.383,3569.213
0.925,431.348,3618.870
0.930,431.348,3688.389
0.935,431.348,3658.595
0.940,428.453,3633.767
0.945,430.383,3613.904
0.950,432.313,3683.423
0.955,429.418,3673.492
0.960,438.103,3643.698
0.965,428.453,3695.838
0.970,427.488,3646.181
0.975,427.488,3616.387
0.980,424.593,3636.249
0.985,430.383,3621.352
0.990,428.453,3646.181
0.995,430.383,3648.664
1.000,423.628,3643.698
1.005,426.523,3559.281
1.010,438.103,3673.492
1.015,428.453,3671.009
1.020,430.383,3626.318
1.025,426.523,3673.492
1.030,418.803,3596.524
1.035,430.383,3611.421
1.040,428.453,3646.181
1.045,420.733,3648.664
1.050,422.663,3527.004
1.055,418.803,3554.316
1.060,426.523,3601.490
1.065,420.733,3631.284
1.070,418.803,3576.661
1.075,423.628,3569.213
1.080,426.523,3589.075
1.085,422.663,3638.732
1.090,416.873,3621.352
1.095,418.803,3494.727
1.100,421.698,3611.421
1.105,418.803,3599.007
1.110,409.154,3539.419
1.115,418.803,3497.210
1.120,414.943,3643.698
1.125,416.873,3494.727
1.130,411.084,3606.455
1.135,413.013,3484.796
1.140,414.943,3504.659
1.145,415.908,3584.110
1.150,415.908,3536.936
1.155,416.873,3584.110
1.160,413.978,3561.764
1.165,409.154,3534.453
1.170,415.908,3499.693
1.175,412.049,3529.487
1.180,413.013,3556.798
1.185,415.908,3554.316
1.190,411.084,3574.178
1.195,413.013,3509.624
1.200,416.873,3499.693
1.205,416.873,3601.490
1.210,411.084,3489.762
1.215,415.908,3509.624
1.220,413.013,3531.970
1.225,412.049,3487.279
1.230,419.768,3541.901
1.235,413.013,3494.727
1.240,405.294,3474.865
