14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100
0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 30, 40, 50, 60, 70, 80, 90, 100
           t         gam           m         rho
   1.1469E+03  1.1599E+00  1.8729E+01  1.9906E-01
   1.0666E+03  1.1584E+00  1.8805E+01  1.2309E-01
   1.2209E+03  1.1490E+00  1.9663E+01  1.3355E+00
   1.1420E+03  1.1479E+00  1.9759E+01  8.2472E-01
   1.2599E+03  1.1441E+00  2.0202E+01  2.6594E+00
   1.1798E+03  1.1438E+00  2.0280E+01  1.6411E+00
   1.2852E+03  1.1407E+00  2.0572E+01  3.9820E+00
   1.2042E+03  1.1410E+00  2.0633E+01  2.4562E+00
   1.3043E+03  1.1381E+00  2.0861E+01  5.3051E+00
   1.2224E+03  1.1389E+00  2.0906E+01  3.2712E+00
   1.3196E+03  1.1359E+00  2.1100E+01  6.6295E+00
   1.2370E+03  1.1371E+00  2.1131E+01  4.0865E+00
   1.3325E+03  1.1340E+00  2.1305E+01  7.9554E+00
   1.2493E+03  1.1355E+00  2.1324E+01  4.9025E+00
   1.3435E+03  1.1323E+00  2.1486E+01  9.2829E+00
   1.2599E+03  1.1342E+00  2.1493E+01  5.7193E+00
   1.3533E+03  1.1308E+00  2.1648E+01  1.0612E+01
   1.2692E+03  1.1329E+00  2.1644E+01  6.5368E+00
   1.3620E+03  1.1294E+00  2.1795E+01  1.1943E+01
   1.2776E+03  1.1318E+00  2.1781E+01  7.3552E+00
   1.3698E+03  1.1281E+00  2.1930E+01  1.3276E+01
   1.2851E+03  1.1307E+00  2.1907E+01  8.1743E+00
   1.3770E+03  1.1269E+00  2.2055E+01  1.4610E+01
   1.2920E+03  1.1297E+00  2.2023E+01  8.9944E+00
   1.8023E+03  1.2032E+00  1.9824E+01  1.3408E-01
   1.6318E+03  1.2132E+00  1.9826E+01  8.3195E-02
   1.8061E+03  1.2034E+00  1.9857E+01  9.1170E-01
   1.6357E+03  1.2126E+00  1.9862E+01  5.6577E-01
   1.8097E+03  1.2027E+00  1.9893E+01  1.8231E+00
   1.6398E+03  1.2115E+00  1.9901E+01  1.1313E+00
   1.8131E+03  1.2020E+00  1.9928E+01  2.7343E+00
   1.6437E+03  1.2105E+00  1.9938E+01  1.6967E+00
   1.8163E+03  1.2013E+00  1.9962E+01  3.6454E+00
   1.6474E+03  1.2096E+00  1.9973E+01  2.2619E+00
   1.8194E+03  1.2006E+00  1.9994E+01  4.5563E+00
   1.6509E+03  1.2088E+00  2.0007E+01  2.8271E+00
   1.8224E+03  1.2000E+00  2.0025E+01  5.4672E+00
   1.6543E+03  1.2079E+00  2.0040E+01  3.3920E+00
   1.8253E+03  1.1993E+00  2.0055E+01  6.3779E+00
   1.6575E+03  1.2072E+00  2.0071E+01  3.9569E+00
   1.8281E+03  1.1987E+00  2.0085E+01  7.2887E+00
   1.6606E+03  1.2064E+00  2.0102E+01  4.5217E+00
   1.8307E+03  1.1981E+00  2.0113E+01  8.1994E+00
   1.6636E+03  1.2058E+00  2.0131E+01  5.0864E+00
   1.8333E+03  1.1975E+00  2.0141E+01  9.1101E+00
   1.6665E+03  1.2051E+00  2.0159E+01  5.6511E+00
   1.8358E+03  1.1969E+00  2.0168E+01  1.0021E+01
   1.6693E+03  1.2045E+00  2.0187E+01  6.2157E+00
   2.2193E+03  1.1986E+00  2.0462E+01  1.1239E-01
   2.0072E+03  1.2251E+00  2.0486E+01  6.9561E-02
   2.2305E+03  1.2048E+00  2.0490E+01  7.6177E-01
   2.0109E+03  1.2296E+00  2.0500E+01  4.7195E-01
   2.2331E+03  1.2060E+00  2.0501E+01  1.5225E+00
   2.0122E+03  1.2303E+00  2.0508E+01  9.4346E-01
   2.2346E+03  1.2064E+00  2.0509E+01  2.2832E+00
   2.0131E+03  1.2305E+00  2.0515E+01  1.4149E+00
   2.2358E+03  1.2065E+00  2.0517E+01  3.0439E+00
   2.0140E+03  1.2306E+00  2.0521E+01  1.8864E+00
   2.2367E+03  1.2066E+00  2.0524E+01  3.8045E+00
   2.0147E+03  1.2305E+00  2.0527E+01  2.3578E+00
   2.2375E+03  1.2066E+00  2.0530E+01  4.5652E+00
   2.0155E+03  1.2305E+00  2.0534E+01  2.8293E+00
   2.2383E+03  1.2066E+00  2.0537E+01  5.3259E+00
   2.0162E+03  1.2304E+00  2.0540E+01  3.3007E+00
   2.2390E+03  1.2065E+00  2.0543E+01  6.0867E+00
   2.0169E+03  1.2303E+00  2.0546E+01  3.7722E+00
   2.2397E+03  1.2064E+00  2.0550E+01  6.8475E+00
   2.0175E+03  1.2301E+00  2.0552E+01  4.2438E+00
   2.2404E+03  1.2063E+00  2.0556E+01  7.6083E+00
   2.0182E+03  1.2300E+00  2.0558E+01  4.7153E+00
   2.2411E+03  1.2062E+00  2.0562E+01  8.3692E+00
   2.0189E+03  1.2299E+00  2.0563E+01  5.1868E+00
   2.4505E+03  1.1877E+00  2.0748E+01  1.0321E-01
   2.2291E+03  1.2187E+00  2.0808E+01  6.3743E-02
   2.4795E+03  1.2607E+00  2.0811E+01  6.9602E-01
   2.2405E+03  1.2291E+00  2.0839E+01  4.3052E-01
   2.4875E+03  1.2664E+00  2.0827E+01  1.3886E+00
   2.2429E+03  1.2312E+00  2.0847E+01  8.5985E-01
   2.4914E+03  1.2691E+00  2.0835E+01  2.0804E+00
   2.2442E+03  1.2321E+00  2.0852E+01  1.2890E+00
   2.4940E+03  1.2707E+00  2.0841E+01  2.7718E+00
   2.2450E+03  1.2326E+00  2.0855E+01  1.7180E+00
   2.4959E+03  1.2717E+00  2.0846E+01  3.4629E+00
   2.2456E+03  1.2330E+00  2.0859E+01  2.1470E+00
   2.4974E+03  1.2724E+00  2.0850E+01  4.1537E+00
   2.2462E+03  1.2332E+00  2.0862E+01  2.5760E+00
   2.4987E+03  1.2729E+00  2.0853E+01  4.8444E+00
   2.2467E+03  1.2334E+00  2.0864E+01  3.0050E+00
   2.4999E+03  1.2733E+00  2.0857E+01  5.5348E+00
   2.2471E+03  1.2335E+00  2.0867E+01  3.4340E+00
   2.5009E+03  1.2735E+00  2.0860E+01  6.2251E+00
   2.2475E+03  1.2336E+00  2.0870E+01  3.8629E+00
   2.5018E+03  1.2737E+00  2.0863E+01  6.9153E+00
   2.2478E+03  1.2337E+00  2.0872E+01  4.2919E+00
   2.5026E+03  1.2739E+00  2.0866E+01  7.6053E+00
   2.2482E+03  1.2337E+00  2.0875E+01  4.7209E+00
   2.8353E+03  1.1831E+00  2.2204E+01  9.5459E-02
   2.6119E+03  1.1990E+00  2.2414E+01  5.9028E-02
   2.9514E+03  1.2109E+00  2.2413E+01  6.2971E-01
   2.6744E+03  1.2293E+00  2.2555E+01  3.9055E-01
   2.9844E+03  1.2209E+00  2.2473E+01  1.2489E+00
   2.6892E+03  1.2389E+00  2.2590E+01  7.7551E-01
   3.0012E+03  1.2265E+00  2.2504E+01  1.8653E+00
   2.6963E+03  1.2439E+00  2.2608E+01  1.1592E+00
   3.0121E+03  1.2303E+00  2.2524E+01  2.4803E+00
   2.7006E+03  1.2471E+00  2.2618E+01  1.5421E+00
   3.0199E+03  1.2331E+00  2.2538E+01  3.0944E+00
   2.7037E+03  1.2495E+00  2.2626E+01  1.9246E+00
   3.0260E+03  1.2353E+00  2.2550E+01  3.7077E+00
   2.7060E+03  1.2513E+00  2.2631E+01  2.3068E+00
   3.0308E+03  1.2372E+00  2.2559E+01  4.3205E+00
   2.7078E+03  1.2528E+00  2.2636E+01  2.6888E+00
   3.0348E+03  1.2387E+00  2.2566E+01  4.9328E+00
   2.7092E+03  1.2540E+00  2.2640E+01  3.0705E+00
   3.0382E+03  1.2400E+00  2.2572E+01  5.5448E+00
   2.7105E+03  1.2550E+00  2.2643E+01  3.4521E+00
   3.0411E+03  1.2412E+00  2.2578E+01  6.1565E+00
   2.7115E+03  1.2559E+00  2.2646E+01  3.8336E+00
   3.0436E+03  1.2422E+00  2.2583E+01  6.7680E+00
   2.7124E+03  1.2566E+00  2.2648E+01  4.2149E+00
   3.0059E+03  1.1490E+00  2.3652E+01  9.5913E-02
   2.8307E+03  1.1541E+00  2.3960E+01  5.9164E-02
   3.1861E+03  1.1699E+00  2.3995E+01  6.2452E-01
   2.9609E+03  1.1797E+00  2.4250E+01  3.8590E-01
   3.2450E+03  1.1785E+00  2.4109E+01  1.2321E+00
   2.9991E+03  1.1900E+00  2.4338E+01  7.6195E-01
   3.2773E+03  1.1838E+00  2.4171E+01  1.8347E+00
   3.0189E+03  1.1960E+00  2.4383E+01  1.1352E+00
   3.2991E+03  1.1875E+00  2.4213E+01  2.4344E+00
   3.0318E+03  1.2003E+00  2.4414E+01  1.5068E+00
   3.3154E+03  1.1905E+00  2.4244E+01  3.0320E+00
   3.0411E+03  1.2036E+00  2.4435E+01  1.8772E+00
   3.3281E+03  1.1929E+00  2.4269E+01  3.6282E+00
   3.0483E+03  1.2062E+00  2.4452E+01  2.2469E+00
   3.3386E+03  1.1949E+00  2.4290E+01  4.2231E+00
   3.0540E+03  1.2084E+00  2.4466E+01  2.6159E+00
   3.3475E+03  1.1967E+00  2.4307E+01  4.8171E+00
   3.0588E+03  1.2102E+00  2.4478E+01  2.9845E+00
   3.3550E+03  1.1983E+00  2.4322E+01  5.4102E+00
   3.0628E+03  1.2118E+00  2.4487E+01  3.3525E+00
   3.3617E+03  1.1996E+00  2.4334E+01  6.0027E+00
   3.0663E+03  1.2133E+00  2.4496E+01  3.7203E+00
   3.3676E+03  1.2009E+00  2.4346E+01  6.5945E+00
   3.0694E+03  1.2145E+00  2.4503E+01  4.0877E+00
   3.0562E+03  1.1349E+00  2.4680E+01  9.8438E-02
   2.9062E+03  1.1333E+00  2.5039E+01  6.0685E-02
   3.2676E+03  1.1494E+00  2.5104E+01  6.3708E-01
   3.0808E+03  1.1495E+00  2.5434E+01  3.9327E-01
   3.3425E+03  1.1552E+00  2.5255E+01  1.2531E+00
   3.1397E+03  1.1564E+00  2.5569E+01  7.7395E-01
   3.3852E+03  1.1587E+00  2.5342E+01  1.8623E+00
   3.1726E+03  1.1607E+00  2.5644E+01  1.1505E+00
   3.4150E+03  1.1614E+00  2.5402E+01  2.4673E+00
   3.1950E+03  1.1639E+00  2.5696E+01  1.5246E+00
   3.4378E+03  1.1634E+00  2.5449E+01  3.0693E+00
   3.2119E+03  1.1665E+00  2.5735E+01  1.8969E+00
   3.4561E+03  1.1651E+00  2.5486E+01  3.6690E+00
   3.2253E+03  1.1686E+00  2.5766E+01  2.2678E+00
   3.4713E+03  1.1666E+00  2.5517E+01  4.2668E+00
   3.2363E+03  1.1705E+00  2.5792E+01  2.6376E+00
   3.4844E+03  1.1679E+00  2.5543E+01  4.8632E+00
   3.2457E+03  1.1721E+00  2.5813E+01  3.0066E+00
   3.4958E+03  1.1690E+00  2.5566E+01  5.4582E+00
   3.2537E+03  1.1735E+00  2.5832E+01  3.3747E+00
   3.5058E+03  1.1701E+00  2.5587E+01  6.0520E+00
   3.2608E+03  1.1748E+00  2.5849E+01  3.7422E+00
   3.5149E+03  1.1710E+00  2.5605E+01  6.6449E+00
   3.2671E+03  1.1760E+00  2.5863E+01  4.1091E+00
   3.0597E+03  1.1299E+00  2.5443E+01  1.0137E-01
   2.9186E+03  1.1263E+00  2.5821E+01  6.2474E-02
   3.2791E+03  1.1417E+00  2.5902E+01  6.5504E-01
