14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000
0.1,1,2,3,4,5,6,7,8,10,15,20,25,30,40,50
   t           gam         m           rho         
   2.6125E+03  1.2154E+00  1.6801E+01  7.8394E-02
   2.3562E+03  1.2192E+00  1.6801E+01  4.8736E-02
   2.6719E+03  1.2127E+00  1.6940E+01  5.2576E-01
   2.4127E+03  1.2164E+00  1.6940E+01  3.2677E-01
   2.6860E+03  1.2120E+00  1.6979E+01  1.0484E+00
   2.4262E+03  1.2157E+00  1.6979E+01  6.5152E-01
   2.6929E+03  1.2116E+00  1.7001E+01  1.5705E+00
   2.4329E+03  1.2153E+00  1.7001E+01  9.7598E-01
   2.6973E+03  1.2113E+00  1.7016E+01  2.0925E+00
   2.4372E+03  1.2150E+00  1.7016E+01  1.3003E+00
   2.7005E+03  1.2111E+00  1.7029E+01  2.6146E+00
   2.4403E+03  1.2147E+00  1.7029E+01  1.6247E+00
   2.7029E+03  1.2109E+00  1.7040E+01  3.1366E+00
   2.4428E+03  1.2145E+00  1.7040E+01  1.9491E+00
   2.7049E+03  1.2107E+00  1.7050E+01  3.6587E+00
   2.4448E+03  1.2143E+00  1.7050E+01  2.2735E+00
   2.7067E+03  1.2105E+00  1.7059E+01  4.1810E+00
   2.4466E+03  1.2142E+00  1.7059E+01  2.5979E+00
   2.7082E+03  1.2104E+00  1.7067E+01  4.7034E+00
   2.4481E+03  1.2140E+00  1.7067E+01  2.9225E+00
   2.7095E+03  1.2102E+00  1.7075E+01  5.2259E+00
   2.4494E+03  1.2139E+00  1.7075E+01  3.2471E+00
   2.7676E+03  1.2822E+00  1.8586E+01  8.1860E-02
   2.4222E+03  1.2873E+00  1.8586E+01  5.1250E-02
   2.8624E+03  1.2780E+00  1.8769E+01  5.4373E-01
   2.5098E+03  1.2830E+00  1.8769E+01  3.4027E-01
   2.8920E+03  1.2769E+00  1.8817E+01  1.0791E+00
   2.5371E+03  1.2817E+00  1.8817E+01  6.7524E-01
   2.9071E+03  1.2763E+00  1.8842E+01  1.6124E+00
   2.5511E+03  1.2811E+00  1.8842E+01  1.0089E+00
   2.9169E+03  1.2758E+00  1.8859E+01  2.1446E+00
   2.5601E+03  1.2807E+00  1.8859E+01  1.3418E+00
   2.9240E+03  1.2755E+00  1.8872E+01  2.6760E+00
   2.5667E+03  1.2804E+00  1.8872E+01  1.6742E+00
   2.9295E+03  1.2753E+00  1.8882E+01  3.2068E+00
   2.5719E+03  1.2801E+00  1.8882E+01  2.0063E+00
   2.9340E+03  1.2751E+00  1.8890E+01  3.7373E+00
   2.5760E+03  1.2799E+00  1.8890E+01  2.3381E+00
   2.9377E+03  1.2749E+00  1.8897E+01  4.2673E+00
   2.5795E+03  1.2797E+00  1.8897E+01  2.6697E+00
   2.9409E+03  1.2748E+00  1.8904E+01  4.7971E+00
   2.5825E+03  1.2796E+00  1.8904E+01  3.0011E+00
   2.9437E+03  1.2746E+00  1.8909E+01  5.3267E+00
   2.5851E+03  1.2794E+00  1.8909E+01  3.3323E+00
   3.1043E+03  1.2844E+00  2.0929E+01  8.2183E-02
   2.7148E+03  1.2887E+00  2.0929E+01  5.1468E-02
   3.3176E+03  1.2768E+00  2.1288E+01  5.3211E-01
   2.9112E+03  1.2808E+00  2.1288E+01  3.3299E-01
   3.3904E+03  1.2743E+00  2.1413E+01  1.0475E+00
   2.9785E+03  1.2782E+00  2.1413E+01  6.5532E-01
   3.4312E+03  1.2728E+00  2.1484E+01  1.5576E+00
   3.0162E+03  1.2767E+00  2.1484E+01  9.7437E-01
   3.4591E+03  1.2719E+00  2.1532E+01  2.0647E+00
   3.0421E+03  1.2757E+00  2.1532E+01  1.2915E+00
   3.4802E+03  1.2712E+00  2.1569E+01  2.5697E+00
   3.0616E+03  1.2750E+00  2.1569E+01  1.6072E+00
   3.4969E+03  1.2706E+00  2.1598E+01  3.0731E+00
   3.0771E+03  1.2744E+00  2.1598E+01  1.9219E+00
   3.5107E+03  1.2701E+00  2.1623E+01  3.5751E+00
   3.0900E+03  1.2739E+00  2.1623E+01  2.2358E+00
   3.5225E+03  1.2697E+00  2.1643E+01  4.0762E+00
   3.1008E+03  1.2735E+00  2.1643E+01  2.5490E+00
   3.5326E+03  1.2694E+00  2.1661E+01  4.5763E+00
   3.1103E+03  1.2731E+00  2.1661E+01  2.8617E+00
   3.5415E+03  1.2690E+00  2.1677E+01  5.0757E+00
   3.1185E+03  1.2728E+00  2.1677E+01  3.1738E+00
   3.1733E+03  1.2733E+00  2.3097E+01  8.8727E-02
   2.7890E+03  1.2771E+00  2.3097E+01  5.5505E-02
   3.4238E+03  1.2647E+00  2.3570E+01  5.7086E-01
   3.0210E+03  1.2681E+00  2.3570E+01  3.5680E-01
   3.5157E+03  1.2616E+00  2.3746E+01  1.1202E+00
   3.1064E+03  1.2649E+00  2.3746E+01  6.9993E-01
   3.5691E+03  1.2598E+00  2.3849E+01  1.6623E+00
   3.1561E+03  1.2630E+00  2.3849E+01  1.0385E+00
   3.6068E+03  1.2586E+00  2.3922E+01  2.1999E+00
   3.1912E+03  1.2617E+00  2.3922E+01  1.3742E+00
   3.6358E+03  1.2576E+00  2.3978E+01  2.7344E+00
   3.2183E+03  1.2608E+00  2.3978E+01  1.7078E+00
   3.6594E+03  1.2569E+00  2.4023E+01  3.2663E+00
   3.2403E+03  1.2600E+00  2.4023E+01  2.0399E+00
   3.6792E+03  1.2562E+00  2.4062E+01  3.7963E+00
   3.2587E+03  1.2593E+00  2.4062E+01  2.3708E+00
   3.6962E+03  1.2557E+00  2.4095E+01  4.3246E+00
   3.2746E+03  1.2587E+00  2.4095E+01  2.7005E+00
   3.7111E+03  1.2552E+00  2.4124E+01  4.8515E+00
   3.2886E+03  1.2582E+00  2.4124E+01  3.0294E+00
   3.7244E+03  1.2547E+00  2.4150E+01  5.3771E+00
   3.3010E+03  1.2578E+00  2.4150E+01  3.3574E+00
   3.1563E+03  1.2682E+00  2.4517E+01  9.4686E-02
   2.7805E+03  1.2718E+00  2.4517E+01  5.9202E-02
   3.4072E+03  1.2595E+00  2.5028E+01  6.0914E-01
   3.0134E+03  1.2627E+00  2.5028E+01  3.8052E-01
   3.5007E+03  1.2563E+00  2.5222E+01  1.1949E+00
   3.1006E+03  1.2594E+00  2.5222E+01  7.4620E-01
   3.5558E+03  1.2545E+00  2.5336E+01  1.7726E+00
   3.1520E+03  1.2575E+00  2.5336E+01  1.1068E+00
   3.5950E+03  1.2532E+00  2.5418E+01  2.3452E+00
   3.1886E+03  1.2561E+00  2.5418E+01  1.4641E+00
   3.6254E+03  1.2522E+00  2.5482E+01  2.9143E+00
   3.2170E+03  1.2551E+00  2.5482E+01  1.8192E+00
   3.6502E+03  1.2513E+00  2.5534E+01  3.4804E+00
   3.2403E+03  1.2542E+00  2.5534E+01  2.1724E+00
   3.6712E+03  1.2507E+00  2.5578E+01  4.0443E+00
   3.2599E+03  1.2535E+00  2.5578E+01  2.5242E+00
